year mon day euro
2007 9 10 1.3794
2007 9 11 1.3837
2007 9 12 1.3904
2007 9 13 1.3885
2007 9 14 1.3848
2007 9 17 1.386
2007 9 18 1.3869
2007 9 19 1.395
2007 9 20 1.4092
2007 9 21 1.4076
2007 9 24 1.4086
2007 9 25 1.4128
2007 9 26 1.4126
2007 9 27 1.4138
2007 9 28 1.4219
2007 10 1 1.4229
2007 10 2 1.4163
2007 10 3 1.4135
2007 10 4 1.4128
2007 10 5 1.4154
2007 10 8 1.4154
2007 10 9 1.4092
2007 10 10 1.4157
2007 10 11 1.4228
2007 10 12 1.4168
2007 10 15 1.4216
2007 10 16 1.4165
2007 10 17 1.4208
2007 10 18 1.4291
2007 10 19 1.4263
2007 10 22 1.4138
2007 10 23 1.4248
2007 10 24 1.4237
2007 10 25 1.4299
2007 10 26 1.439
2007 10 29 1.4405
2007 10 30 1.4424
2007 10 31 1.4468
2007 11 1 1.4435
2007 11 2 1.4481
2007 11 5 1.4469
2007 11 6 1.4555
2007 11 7 1.4667
2007 11 8 1.4691
2007 11 9 1.4665
2007 11 13 1.4598
2007 11 14 1.467
2007 11 15 1.4639
2007 11 16 1.4652
2007 11 19 1.4658
2007 11 20 1.4787
2007 11 21 1.4829
2007 11 22 1.4829
2007 11 23 1.4825
2007 11 26 1.4862
2007 11 27 1.4817
2007 11 28 1.475
2007 11 29 1.4766
2007 11 30 1.4688
2007 12 3 1.4657
2007 12 4 1.4759
2007 12 5 1.4666
2007 12 6 1.4638
2007 12 7 1.4664
2007 12 10 1.4714
2007 12 11 1.4702
2007 12 12 1.4702
2007 12 13 1.4591
2007 12 14 1.4433
2007 12 17 1.4369
2007 12 18 1.4392
2007 12 19 1.4344
2007 12 20 1.4353
2007 12 21 1.4361
2007 12 24 1.4409
2007 12 26 1.45
2007 12 27 1.4601
2007 12 28 1.4718
2007 12 31 1.4603
2008 1 2 1.4738
2008 1 3 1.4736
2008 1 4 1.4786
2008 1 7 1.4684
2008 1 8 1.4717
2008 1 9 1.4663
2008 1 10 1.474
2008 1 11 1.4787
2008 1 14 1.4877
2008 1 15 1.4842
2008 1 16 1.4643
2008 1 17 1.469
2008 1 18 1.4616
2008 1 22 1.4609
2008 1 23 1.4574
2008 1 24 1.4737
2008 1 25 1.4673
2008 1 28 1.4789
2008 1 29 1.4767
2008 1 30 1.4782
2008 1 31 1.4841
2008 2 1 1.4851
2008 2 4 1.4832
2008 2 5 1.4638
2008 2 6 1.4647
2008 2 7 1.4495
2008 2 8 1.4505
2008 2 11 1.4506
2008 2 12 1.4592
2008 2 13 1.4569
2008 2 14 1.4635
2008 2 15 1.4674
2008 2 19 1.4742
2008 2 20 1.4663
2008 2 21 1.4813
2008 2 22 1.4825
2008 2 25 1.4822
2008 2 26 1.4889
2008 2 27 1.5132
2008 2 28 1.5172
2008 2 29 1.5187
2008 3 3 1.5195
2008 3 4 1.521
2008 3 5 1.5282
2008 3 6 1.5356
2008 3 7 1.5333
2008 3 10 1.5369
2008 3 11 1.5329
2008 3 12 1.5495
2008 3 13 1.5584
2008 3 14 1.5604
2008 3 17 1.5765
2008 3 18 1.5784
2008 3 19 1.5642
2008 3 20 1.5417
2008 3 21 1.5447
2008 3 24 1.5394
2008 3 25 1.5595
2008 3 26 1.5761
2008 3 27 1.5798
2008 3 28 1.5759
2008 3 31 1.5805
2008 4 1 1.5615
2008 4 2 1.5618
2008 4 3 1.5667
2008 4 4 1.5735
2008 4 7 1.5713
2008 4 8 1.5705
2008 4 9 1.5804
2008 4 10 1.5744
2008 4 11 1.5796
2008 4 14 1.5827
2008 4 15 1.5801
2008 4 16 1.5978
2008 4 17 1.5924
2008 4 18 1.5742
2008 4 21 1.5881
2008 4 22 1.601
2008 4 23 1.5898
2008 4 24 1.5668
2008 4 25 1.5634
2008 4 28 1.5648
2008 4 29 1.5604
2008 4 30 1.5568
2008 5 1 1.5458
2008 5 2 1.5431
2008 5 5 1.5491
2008 5 6 1.5548
2008 5 7 1.537
2008 5 8 1.5409
2008 5 9 1.5447
2008 5 12 1.5536
2008 5 13 1.5509
2008 5 14 1.5467
2008 5 15 1.5492
2008 5 16 1.5591
2008 5 19 1.5516
2008 5 20 1.5667
2008 5 21 1.5772
2008 5 22 1.5703
2008 5 23 1.5784
2008 5 27 1.5731
2008 5 28 1.5628
2008 5 29 1.5527
2008 5 30 1.556
2008 6 2 1.555
2008 6 3 1.5454
2008 6 4 1.5453
2008 6 5 1.556
2008 6 6 1.5731
2008 6 9 1.5718
2008 6 10 1.5473
2008 6 11 1.5562
2008 6 12 1.5418
2008 6 13 1.5368
2008 6 16 1.5472
2008 6 17 1.5519
2008 6 18 1.5502
2008 6 19 1.5502
2008 6 20 1.5626
2008 6 23 1.5492
2008 6 24 1.5591
2008 6 25 1.557
2008 6 26 1.5738
2008 6 27 1.5749
2008 6 30 1.5748
2008 7 1 1.5778
2008 7 2 1.5869
2008 7 3 1.5708
2008 7 7 1.5646
2008 7 8 1.5653
2008 7 9 1.5744
2008 7 10 1.5771
2008 7 11 1.5898
2008 7 14 1.5914
2008 7 15 1.5923
2008 7 16 1.5847
2008 7 17 1.5861
2008 7 18 1.5855
2008 7 21 1.5877
2008 7 22 1.5811
2008 7 23 1.5708
2008 7 24 1.5657
2008 7 25 1.5687
2008 7 28 1.5747
2008 7 29 1.5588
2008 7 30 1.5559
2008 7 31 1.5589
2008 8 1 1.5567
2008 8 4 1.5569
2008 8 5 1.5468
2008 8 6 1.5409
2008 8 7 1.5341
2008 8 8 1.5047
2008 8 11 1.4958
2008 8 12 1.4905
2008 8 13 1.4895
2008 8 14 1.4856
2008 8 15 1.4695
2008 8 18 1.473
2008 8 19 1.4746
2008 8 20 1.4701
2008 8 21 1.4875
2008 8 22 1.48
2008 8 25 1.4803
2008 8 26 1.466
2008 8 27 1.4684
2008 8 28 1.4685
2008 8 29 1.4669
2008 9 2 1.4522
2008 9 3 1.4489
2008 9 4 1.436
2008 9 5 1.4273
2008 9 8 1.4126
2008 9 9 1.4173
2008 9 10 1.402
2008 9 11 1.3939
2008 9 12 1.4172
2008 9 15 1.4175
2008 9 16 1.4155
2008 9 17 1.4215
2008 9 18 1.4382
2008 9 19 1.4384
2008 9 22 1.4697
2008 9 23 1.4737
2008 9 24 1.4655
2008 9 25 1.4643
2008 9 26 1.4596
2008 9 29 1.4381
2008 9 30 1.4081
2008 10 1 1.4058
2008 10 2 1.3854
2008 10 3 1.3816
2008 10 6 1.3508
2008 10 7 1.3649
2008 10 8 1.368
2008 10 9 1.3646
2008 10 10 1.3471
2008 10 14 1.3658
2008 10 15 1.3567
2008 10 16 1.3416
2008 10 17 1.3462
2008 10 20 1.3314
2008 10 21 1.3102
2008 10 22 1.2835
2008 10 23 1.2878
2008 10 24 1.2639
2008 10 27 1.2446
2008 10 28 1.2476
2008 10 29 1.2851
2008 10 30 1.285
2008 10 31 1.2682
2008 11 3 1.2719
2008 11 4 1.3021
2008 11 5 1.3039
2008 11 6 1.2756
2008 11 7 1.2777
2008 11 10 1.276
2008 11 12 1.2558
2008 11 13 1.2526
2008 11 14 1.2731
2008 11 17 1.2726
